SUBJECT;LABEL;DICE;TIMES;
117122;Amygdala;0.503;5.425550792;0.605849394
117122;GreyMatter;0.513;;
117122;Hippocampus;0.598;;
117122;Thalamus;0.765;;
117122;WhiteMatter;0.650;;
118528;Amygdala;0.591;4.983694125;0.658484575
118528;GreyMatter;0.547;;
118528;Hippocampus;0.677;;
118528;Thalamus;0.808;;
118528;WhiteMatter;0.669;;
118730;Amygdala;0.736;7.136105042;0.664343528
118730;GreyMatter;0.551;;
118730;Hippocampus;0.577;;
118730;Thalamus;0.810;;
118730;WhiteMatter;0.648;;
118932;Amygdala;0.671;6.7375435;0.685786085
118932;GreyMatter;0.569;;
118932;Hippocampus;0.685;;
118932;Thalamus;0.828;;
118932;WhiteMatter;0.676;;
120111;Amygdala;0.557;5.691368584;0.629103596
120111;GreyMatter;0.517;;
120111;Hippocampus;0.653;;
120111;Thalamus;0.746;;
120111;WhiteMatter;0.673;;
122317;Amygdala;0.639;5.434681291;0.623939884
122317;GreyMatter;0.531;;
122317;Hippocampus;0.574;;
122317;Thalamus;0.711;;
122317;WhiteMatter;0.665;;
122620;Amygdala;0.537;5.562870208;0.611864393
122620;GreyMatter;0.476;;
122620;Hippocampus;0.624;;
122620;Thalamus;0.800;;
122620;WhiteMatter;0.622;;
123117;Amygdala;0.705;6.7739325;0.703295502
123117;GreyMatter;0.560;;
123117;Hippocampus;0.712;;
123117;Thalamus;0.837;;
123117;WhiteMatter;0.703;;
123925;Amygdala;0.674;5.235210375;0.694801421
123925;GreyMatter;0.548;;
123925;Hippocampus;0.690;;
123925;Thalamus;0.848;;
123925;WhiteMatter;0.713;;
124422;Amygdala;0.582;5.556706292;0.582400025
124422;GreyMatter;0.485;;
124422;Hippocampus;0.543;;
124422;Thalamus;0.706;;
124422;WhiteMatter;0.595;;
;;;5.853766271;
;;;0.743119298;
