SUBJECT;LABEL;DICE;TIMES;
117122;Amygdala;0.365;199.7656705;0.631844054
117122;GreyMatter;0.742;;
117122;Hippocampus;0.498;;
117122;Thalamus;0.738;;
117122;WhiteMatter;0.817;;
117122-PP;Amygdala;0.365;;
117122-PP;GreyMatter;0.742;;
117122-PP;Hippocampus;0.498;;
117122-PP;Thalamus;0.738;;
117122-PP;WhiteMatter;0.817;;
118528;Amygdala;0.444;196.0675411;0.634875726
118528;GreyMatter;0.736;;
118528;Hippocampus;0.446;;
118528;Thalamus;0.716;;
118528;WhiteMatter;0.832;;
118528-PP;Amygdala;0.444;;
118528-PP;GreyMatter;0.736;;
118528-PP;Hippocampus;0.446;;
118528-PP;Thalamus;0.716;;
118528-PP;WhiteMatter;0.832;;
118730;Amygdala;0.480;215.1238392;0.633814565
118730;GreyMatter;0.741;;
118730;Hippocampus;0.445;;
118730;Thalamus;0.670;;
118730;WhiteMatter;0.832;;
118730-PP;Amygdala;0.480;;
118730-PP;GreyMatter;0.741;;
118730-PP;Hippocampus;0.445;;
118730-PP;Thalamus;0.670;;
118730-PP;WhiteMatter;0.832;;
118932;Amygdala;0.429;213.0186557;0.636056132
118932;GreyMatter;0.744;;
118932;Hippocampus;0.447;;
118932;Thalamus;0.712;;
118932;WhiteMatter;0.848;;
118932-PP;Amygdala;0.429;;
118932-PP;GreyMatter;0.744;;
118932-PP;Hippocampus;0.447;;
118932-PP;Thalamus;0.712;;
118932-PP;WhiteMatter;0.848;;
120111;Amygdala;0.454;204.9982225;0.647826661
120111;GreyMatter;0.725;;
120111;Hippocampus;0.466;;
120111;Thalamus;0.731;;
120111;WhiteMatter;0.862;;
120111-PP;Amygdala;0.454;;
120111-PP;GreyMatter;0.725;;
120111-PP;Hippocampus;0.466;;
120111-PP;Thalamus;0.731;;
120111-PP;WhiteMatter;0.862;;
122317;Amygdala;0.528;207.3100288;0.649582644
122317;GreyMatter;0.747;;
122317;Hippocampus;0.492;;
122317;Thalamus;0.640;;
122317;WhiteMatter;0.840;;
122317-PP;Amygdala;0.528;;
122317-PP;GreyMatter;0.747;;
122317-PP;Hippocampus;0.492;;
122317-PP;Thalamus;0.640;;
122317-PP;WhiteMatter;0.840;;
122620;Amygdala;0.504;200.2560216;0.631345508
122620;GreyMatter;0.751;;
122620;Hippocampus;0.396;;
122620;Thalamus;0.693;;
122620;WhiteMatter;0.813;;
122620-PP;Amygdala;0.504;;
122620-PP;GreyMatter;0.751;;
122620-PP;Hippocampus;0.396;;
122620-PP;Thalamus;0.693;;
122620-PP;WhiteMatter;0.813;;
123117;Amygdala;0.433;212.5954267;0.539915627
123117;GreyMatter;0.716;;
123117;Hippocampus;0.303;;
123117;Thalamus;0.388;;
123117;WhiteMatter;0.859;;
123117-PP;Amygdala;0.433;;
123117-PP;GreyMatter;0.716;;
123117-PP;Hippocampus;0.303;;
123117-PP;Thalamus;0.388;;
123117-PP;WhiteMatter;0.859;;
123925;Amygdala;0.550;195.4027712;0.654645729
123925;GreyMatter;0.732;;
123925;Hippocampus;0.403;;
123925;Thalamus;0.756;;
123925;WhiteMatter;0.833;;
123925-PP;Amygdala;0.550;;
123925-PP;GreyMatter;0.732;;
123925-PP;Hippocampus;0.403;;
123925-PP;Thalamus;0.756;;
123925-PP;WhiteMatter;0.833;;
124422;Amygdala;0.539;199.5413039;0.669320492
124422;GreyMatter;0.731;;
124422;Hippocampus;0.501;;
124422;Thalamus;0.792;;
124422;WhiteMatter;0.784;;
124422-PP;Amygdala;0.539;;
124422-PP;GreyMatter;0.731;;
124422-PP;Hippocampus;0.501;;
124422-PP;Thalamus;0.792;;
124422-PP;WhiteMatter;0.784;;
;;;204.4079481;
;;;7.287043058;
